,strain,replicate,techRep,bioRep,drug,time,person,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A0485M,A04,8,1,two,0.5,5,M,0.2914,0.4585,0.5902,0.4033
A04105M,A04,10,1,two,0.5,5,M,0.6035,0.8841,0.9477,0.4945
A08105M,A08,10,1,one,0.5,5,M,0.8964,1.2699,1.2184,0.7799
A0375M,A03,7,2,two,0.5,5,M,0.867,1.1662,1.1293,0.5977
A0325Q,A03,2,2,two,0.5,5,Q,0.4611,0.9708,0.9002,0.4523
A0335Q,A03,3,2,two,0.5,5,Q,0.2779,0.4939,0.5198,0.3515
A0365Q,A03,6,2,two,0.5,5,Q,0.3837,0.533,0.5759,0.4141
A0375Q,A03,7,2,two,0.5,5,Q,0.3425,0.6066,0.6476,0.4546
A0385Q,A03,8,2,two,0.5,5,Q,0.2893,0.3567,0.4979,0.508
A0395Q,A03,9,2,two,0.5,5,Q,0.2449,0.6058,0.7362,0.3981
A03115Q,A03,11,2,two,0.5,5,Q,0.1336,0.2078,0.4055,0.6732
A0425M,A04,2,2,two,0.5,5,M,0.8936,1.2906,1.1867,0.8657
A0435M,A04,3,2,two,0.5,5,M,0.6676,1.117,1.1066,0.6704
A0455M,A04,5,2,two,0.5,5,M,0.492,0.7762,0.8791,0.423
A0465M,A04,6,2,two,0.5,5,M,0.5322,0.7873,0.8289,0.43
A0475M,A04,7,2,two,0.5,5,M,0.4808,0.6418,0.6763,0.4356
A0485M,A04,8,2,two,0.5,5,M,0.2702,0.4029,0.5394,0.3962
A04105M,A04,10,2,two,0.5,5,M,0.5883,0.9149,0.9101,0.4914
A08105M,A08,10,2,two,0.5,5,M,0.8323,1.2036,1.0815,0.7103
A1710M,A17,1,1,one,0,0,M,1.6222,1.6239,1.634,1.3937
A1720M,A17,2,1,two,0,0,M,1.6084,1.618,1.6344,1.4199
A1730M,A17,3,1,two,0,0,M,1.621,1.6259,1.6439,1.388
A1740M,A17,4,1,two,0,0,M,1.6284,1.6253,1.6445,1.4078
A1750M,A17,5,1,two,0,0,M,1.6242,1.6287,1.6448,1.4006
A1760M,A17,6,1,two,0,0,M,1.6291,1.6482,1.6553,1.3958
A1770M,A17,7,1,two,0,0,M,1.6293,1.6434,1.6479,1.3646
A1790M,A17,9,1,two,0,0,M,1.6161,1.7203,1.7373,1.3892
A17100M,A17,10,1,two,0,0,M,1.6202,1.7284,1.7392,1.4011
A17110M,A17,11,1,two,0,0,M,1.4396,1.5584,1.5784,1.2076
A17120M,A17,12,1,two,0,0,M,1.5633,1.7083,1.7255,1.4456
A1710Q,A17,1,1,two,0,0,Q,1.6241,1.7118,1.7236,1.3435
A1720Q,A17,2,1,two,0,0,Q,1.5992,1.7012,1.7217,1.3135
A1730Q,A17,3,1,two,0,0,Q,1.6195,1.7061,1.7252,1.3265
A1740Q,A17,4,1,two,0,0,Q,1.601,1.6949,1.7219,1.333
A1750Q,A17,5,1,two,0,0,Q,1.6044,1.7102,1.7311,1.3477
A1760Q,A17,6,1,two,0,0,Q,1.6148,1.7167,1.7308,1.3349
A1770Q,A17,7,1,two,0,0,Q,1.6225,1.7329,1.7393,1.3365
A1780Q,A17,8,1,two,0,0,Q,1.6075,1.7316,1.7339,1.3286
A1790Q,A17,9,1,two,0,0,Q,1.5945,1.7081,1.7289,1.3538
A17100Q,A17,10,1,two,0,0,Q,1.577,1.708,1.7243,1.3237
A17110Q,A17,11,1,two,0,0,Q,1.6018,1.7128,1.728,1.3375
A17120Q,A17,12,1,two,0,0,Q,1.6032,1.7145,1.7241,1.3255
A1810M,A18,1,1,two,0,0,M,1.5774,1.6769,1.7034,1.3006
A1820M,A18,2,1,two,0,0,M,1.5807,1.6816,1.7105,1.3014
A1830M,A18,3,1,two,0,0,M,1.5585,1.6671,1.7086,1.3098
A1840M,A18,4,1,two,0,0,M,1.5585,1.6889,1.7236,1.3052
A1850M,A18,5,1,two,0,0,M,1.5438,1.676,1.7261,1.298
A1860M,A18,6,1,two,0,0,M,1.5449,1.6973,1.7282,1.3164
A1870M,A18,7,1,two,0,0,M,1.5668,1.6819,1.7072,1.2977
A1880M,A18,8,1,two,0,0,M,1.5647,1.7014,1.7362,1.3069
A1890M,A18,9,1,two,0,0,M,1.5402,1.6819,1.7281,1.306
A18100M,A18,10,1,two,0,0,M,1.5124,1.6562,1.7128,1.2657
A18110M,A18,11,1,two,0,0,M,1.5023,1.6729,1.7221,1.2561
A18120M,A18,12,1,two,0,0,M,1.5538,1.6837,1.7195,1.3507
A0210Q,A02,1,1,two,0,0,Q,1.5326,1.643,1.6918,1.2181
A0220Q,A02,2,1,two,0,0,Q,1.5292,1.639,1.7066,1.2318
A0230Q,A02,3,1,two,0,0,Q,1.4858,1.6173,1.7055,1.2324
A0240Q,A02,4,1,two,0,0,Q,1.4991,1.6466,1.7244,1.2568
A0250Q,A02,5,1,two,0,0,Q,1.4267,1.6011,1.6883,1.2415
A0260Q,A02,6,1,two,0,0,Q,1.4187,1.6394,1.7082,1.2529
A0270Q,A02,7,1,two,0,0,Q,1.4344,1.6285,1.7107,1.2584
A0280Q,A02,8,1,two,0,0,Q,1.5162,1.6801,1.7334,1.2491
A0290Q,A02,9,1,two,0,0,Q,1.4561,1.6615,1.7262,1.252
A02100Q,A02,10,1,two,0,0,Q,1.4778,1.6794,1.7286,1.2573
A02110Q,A02,11,1,two,0,0,Q,1.4969,1.6844,1.726,1.2411
A02120Q,A02,12,1,two,0,0,Q,1.5647,1.7215,1.7435,1.2502
A1710M,A17,1,2,one,0,0,M,1.6015,1.6914,1.7104,1.345
A1720M,A17,2,2,two,0,0,M,1.5944,1.6833,1.7092,1.3716
A1730M,A17,3,2,two,0,0,M,1.5897,1.6905,1.7171,1.3751
A1740M,A17,4,2,two,0,0,M,1.5859,1.6907,1.724,1.3889
A1750M,A17,5,2,two,0,0,M,1.5787,1.6917,1.7254,1.3606
A1760M,A17,6,2,two,0,0,M,1.5831,1.6996,1.7314,1.3501
A1770M,A17,7,2,two,0,0,M,1.5675,1.695,1.7188,1.3765
A1790M,A17,9,2,two,0,0,M,1.5763,1.6967,1.722,1.4466
A17100M,A17,10,2,two,0,0,M,1.5873,1.7142,1.7332,1.4385
A17110M,A17,11,2,two,0,0,M,1.3155,1.4545,1.4888,1.2716
A17120M,A17,12,2,two,0,0,M,1.5848,1.7068,1.7243,1.4543
A1710Q,A17,1,2,two,0,0,Q,1.5994,1.6832,1.7006,1.4466
A1720Q,A17,2,2,two,0,0,Q,1.5958,1.6882,1.7041,1.4092
A1730Q,A17,3,2,two,0,0,Q,1.5923,1.6808,1.7067,1.4293
A1740Q,A17,4,2,two,0,0,Q,1.5828,1.681,1.7121,1.4426
A1750Q,A17,5,2,two,0,0,Q,1.577,1.6897,1.7107,1.4324
A1760Q,A17,6,2,two,0,0,Q,1.5943,1.7098,1.7237,1.4434
A1770Q,A17,7,2,two,0,0,Q,1.5827,1.6988,1.7142,1.4249
A1780Q,A17,8,2,two,0,0,Q,1.5664,1.6957,1.7168,1.4083
A1790Q,A17,9,2,two,0,0,Q,1.5819,1.7062,1.7206,1.4306
A17100Q,A17,10,2,two,0,0,Q,1.5771,1.7137,1.727,1.3927
A17110Q,A17,11,2,two,0,0,Q,1.5854,1.709,1.7206,1.4491
A17120Q,A17,12,2,two,0,0,Q,1.5923,1.7066,1.7148,1.3959
A1810M,A18,1,2,two,0,0,M,1.5518,1.654,1.6871,1.3838
A1820M,A18,2,2,two,0,0,M,1.5459,1.6569,1.6819,1.3862
A1830M,A18,3,2,two,0,0,M,1.5499,1.6684,1.6944,1.3977
A1840M,A18,4,2,two,0,0,M,1.5487,1.6612,1.6929,1.4187
A1850M,A18,5,2,two,0,0,M,1.5351,1.6663,1.7043,1.3858
A1860M,A18,6,2,two,0,0,M,1.5432,1.6785,1.7045,1.3908
A1870M,A18,7,2,two,0,0,M,1.5417,1.6762,1.6965,1.3924
A1880M,A18,8,2,two,0,0,M,1.5446,1.6747,1.6974,1.3819
A1890M,A18,9,2,two,0,0,M,1.535,1.686,1.7154,1.3895
A18100M,A18,10,2,two,0,0,M,1.5283,1.6824,1.7232,1.3367
A18110M,A18,11,2,two,0,0,M,1.5377,1.6834,1.7192,1.3417
A18120M,A18,12,2,two,0,0,M,1.5614,1.7029,1.7266,1.381
A0210Q,A02,1,2,two,0,0,Q,1.4766,1.598,1.647,1.3228
A0220Q,A02,2,2,two,0,0,Q,1.482,1.6142,1.672,1.3415
A0230Q,A02,3,2,two,0,0,Q,1.4725,1.6252,1.6875,1.3416
A0240Q,A02,4,2,two,0,0,Q,1.5236,1.6689,1.7018,1.3457
A0250Q,A02,5,2,two,0,0,Q,1.5107,1.6446,1.6958,1.329
A0260Q,A02,6,2,two,0,0,Q,1.4933,1.6525,1.6985,1.3351
A0270Q,A02,7,2,two,0,0,Q,1.5224,1.6695,1.7058,1.3585
A0280Q,A02,8,2,two,0,0,Q,1.5328,1.6845,1.7178,1.3399
A0290Q,A02,9,2,two,0,0,Q,1.5363,1.7068,1.7405,1.3827
A02100Q,A02,10,2,two,0,0,Q,1.5292,1.6978,1.7279,1.355
A02110Q,A02,11,2,two,0,0,Q,1.5313,1.7095,1.7379,1.3536
A02120Q,A02,12,2,two,0,0,Q,1.5605,1.7281,1.749,1.3491
A1735M,A17,3,1,two,0,5,M,1.3838,1.5616,1.5305,1.2897
A1745M,A17,4,1,two,0,5,M,1.3587,1.3167,1.3463,1.4376
A1755M,A17,5,1,two,0,5,M,1.515,1.6363,1.6087,1.5213
A1765M,A17,6,1,two,0,5,M,1.3232,1.6174,1.554,1.3362
A1775M,A17,7,1,two,0,5,M,1.3332,1.6262,1.5461,1.4016
A1785M,A17,8,1,two,0,5,M,1.3851,1.6357,1.5904,1.3714
A1795M,A17,9,1,two,0,5,M,1.4439,1.5924,1.5543,1.3242
A17105M,A17,10,1,two,0,5,M,1.5042,1.6192,1.5899,1.3685
A17115M,A17,11,1,two,0,5,M,1.4477,1.5609,1.5297,1.193
A1725Q,A17,2,1,two,0,5,Q,1.5169,1.599,1.5922,1.3536
A1795Q,A17,9,1,two,0,5,Q,1.2085,1.1523,1.1814,1.3855
A17105Q,A17,10,1,two,0,5,Q,1.5165,1.6297,1.5909,1.3579
A17115Q,A17,11,1,two,0,5,Q,1.5137,1.622,1.5906,1.391
A1815M,A18,1,1,two,0,5,M,1.4625,1.6318,1.637,1.3692
A1825M,A18,2,1,two,0,5,M,1.5021,1.6342,1.6177,1.3742
A1835M,A18,3,1,two,0,5,M,1.4497,1.6111,1.6146,1.3464
A1845M,A18,4,1,two,0,5,M,1.3443,1.5194,1.4973,1.253
A1855M,A18,5,1,two,0,5,M,1.2493,1.554,1.5376,1.2898
A1865M,A18,6,1,two,0,5,M,1.4147,1.6153,1.5944,1.4449
A1875M,A18,7,1,two,0,5,M,1.4325,1.6104,1.6003,1.4107
A1895M,A18,9,1,two,0,5,M,1.4585,1.6437,1.6431,1.4597
A18105M,A18,10,1,two,0,5,M,1.4032,1.6433,1.6286,1.4005
A18115M,A18,11,1,two,0,5,M,1.4845,1.6451,1.6479,1.46
A18125M,A18,12,1,two,0,5,M,1.5123,1.6524,1.6552,1.4992
A0235Q,A02,3,1,two,0,5,Q,1.3003,1.6217,1.6154,1.384
A0265Q,A02,6,1,two,0,5,Q,1.3529,1.6386,1.6141,1.3969
A1735M,A17,3,2,two,0,5,M,1.3294,1.5541,1.5445,1.2588
A1745M,A17,4,2,two,0,5,M,1.3413,1.3222,1.3279,1.4021
A1755M,A17,5,2,two,0,5,M,1.4431,1.6313,1.6187,1.4603
A1765M,A17,6,2,two,0,5,M,1.1639,1.5996,1.578,1.3236
A1775M,A17,7,2,two,0,5,M,1.1718,1.5986,1.5798,1.373
A1785M,A17,8,2,two,0,5,M,1.2703,1.6228,1.6105,1.3507
A1795M,A17,9,2,two,0,5,M,1.4485,1.5937,1.5879,1.2976
A17105M,A17,10,2,two,0,5,M,1.5352,1.6222,1.6159,1.3864
A17115M,A17,11,2,two,0,5,M,1.4713,1.6022,1.5945,1.2717
A1725Q,A17,2,2,two,0,5,Q,1.4498,1.5892,1.59,1.385
A1795Q,A17,9,2,two,0,5,Q,1.2111,1.1519,1.1568,1.3744
A17105Q,A17,10,2,two,0,5,Q,1.5077,1.6183,1.6114,1.3867
A17115Q,A17,11,2,two,0,5,Q,1.4903,1.6204,1.6121,1.4021
A1815M,A18,1,2,two,0,5,M,1.5015,1.6053,1.6187,1.3807
A1825M,A18,2,2,two,0,5,M,1.3527,1.6,1.6078,1.3653
A1835M,A18,3,2,two,0,5,M,1.3806,1.5928,1.6013,1.3669
A1845M,A18,4,2,two,0,5,M,1.3295,1.5256,1.529,1.2413
A1855M,A18,5,2,two,0,5,M,1.324,1.5458,1.5501,1.2511
A1865M,A18,6,2,two,0,5,M,1.3933,1.5934,1.6041,1.3647
A1875M,A18,7,2,two,0,5,M,1.4111,1.621,1.6236,1.3592
A1895M,A18,9,2,two,0,5,M,1.3872,1.6246,1.6295,1.3547
A18105M,A18,10,2,two,0,5,M,1.3539,1.6324,1.6358,1.3164
A18115M,A18,11,2,two,0,5,M,1.4053,1.6305,1.6377,1.3605
A18125M,A18,12,2,two,0,5,M,1.4741,1.6454,1.6542,1.3752
A0235Q,A02,3,2,two,0,5,Q,1.4443,1.6063,1.611,1.3794
A0265Q,A02,6,2,two,0,5,Q,1.4709,1.6279,1.6237,1.397
A1710M,A17,1,1,one,0.5,0,M,0.1398,0.1642,0.217,0.3181
A1720M,A17,2,1,two,0.5,0,M,0.1671,0.2018,0.262,0.3645
A1730M,A17,3,1,two,0.5,0,M,0.151,0.1506,0.1326,0.3519
A1740M,A17,4,1,two,0.5,0,M,0.1792,0.2175,0.2192,0.3835
A1750M,A17,5,1,two,0.5,0,M,0.141,0.1584,0.1651,0.3562
A1760M,A17,6,1,two,0.5,0,M,0.1142,0.1212,0.1587,0.3227
A1770M,A17,7,1,two,0.5,0,M,0.1349,0.1393,0.1654,0.3635
A1790M,A17,9,1,two,0.5,0,M,0.1611,0.266,0.5736,0.4435
A17100M,A17,10,1,two,0.5,0,M,0.1689,0.2623,0.3911,0.4533
A17110M,A17,11,1,two,0.5,0,M,0.2422,0.3753,0.5607,0.6845
A17120M,A17,12,1,two,0.5,0,M,0.1685,0.2482,0.3929,0.3807
A1710Q,A17,1,1,two,0.5,0,Q,0.168,0.3112,0.4579,0.4081
A1720Q,A17,2,1,two,0.5,0,Q,0.16,0.2807,0.4028,0.4025
A1730Q,A17,3,1,two,0.5,0,Q,0.1877,0.3264,0.4646,0.4346
A1740Q,A17,4,1,two,0.5,0,Q,0.1712,0.3071,0.4141,0.4149
A1750Q,A17,5,1,two,0.5,0,Q,0.1552,0.2782,0.6343,0.3812
A1760Q,A17,6,1,two,0.5,0,Q,0.1574,0.2694,0.6024,0.3671
A1770Q,A17,7,1,two,0.5,0,Q,0.1562,0.2492,0.3675,0.3725
A1780Q,A17,8,1,two,0.5,0,Q,0.1278,0.1977,0.3051,0.3211
A1790Q,A17,9,1,two,0.5,0,Q,0.132,0.2131,0.3191,0.4068
A17100Q,A17,10,1,two,0.5,0,Q,0.1304,0.1923,0.3893,0.3255
A17110Q,A17,11,1,two,0.5,0,Q,0.1468,0.2156,0.4218,0.3819
A17120Q,A17,12,1,two,0.5,0,Q,0.1378,0.1967,0.5432,0.3477
A1810M,A18,1,1,two,0.5,0,M,0.1874,0.3278,0.4786,0.9847
A1820M,A18,2,1,two,0.5,0,M,0.1499,0.2649,0.412,0.6012
A1830M,A18,3,1,two,0.5,0,M,0.1713,0.3031,0.4436,0.5523
A1840M,A18,4,1,two,0.5,0,M,0.1888,0.3199,0.4629,0.5655
A1850M,A18,5,1,two,0.5,0,M,0.171,0.2954,0.4353,0.5487
A1860M,A18,6,1,two,0.5,0,M,0.1823,0.3108,0.4485,0.5763
A1870M,A18,7,1,two,0.5,0,M,0.2295,0.3691,0.5108,0.5851
A1880M,A18,8,1,two,0.5,0,M,0.1905,0.3145,0.4527,0.5915
A1890M,A18,9,1,two,0.5,0,M,0.1887,0.3136,0.4549,0.5889
A18100M,A18,10,1,two,0.5,0,M,0.1825,0.302,0.7052,0.5812
A18110M,A18,11,1,two,0.5,0,M,0.1446,0.2248,0.6265,0.5493
A18120M,A18,12,1,two,0.5,0,M,0.1944,0.303,0.3442,0.5485
A0210Q,A02,1,1,two,0.5,0,Q,0.1257,0.229,0.3267,0.2468
A0220Q,A02,2,1,two,0.5,0,Q,0.1529,0.2437,0.3438,0.2415
A0230Q,A02,3,1,two,0.5,0,Q,0.1493,0.2333,0.3334,0.2413
A0240Q,A02,4,1,two,0.5,0,Q,0.1401,0.2242,0.3278,0.2495
A0250Q,A02,5,1,two,0.5,0,Q,0.1448,0.2344,0.3388,0.2442
A0260Q,A02,6,1,two,0.5,0,Q,0.1352,0.217,0.3169,0.2441
A0270Q,A02,7,1,two,0.5,0,Q,0.1276,0.204,0.3018,0.2476
A0280Q,A02,8,1,two,0.5,0,Q,0.1414,0.2242,0.324,0.2565
A0290Q,A02,9,1,two,0.5,0,Q,0.1838,0.2692,0.3992,0.2944
A02100Q,A02,10,1,two,0.5,0,Q,0.1833,0.2631,0.5581,0.2923
A02110Q,A02,11,1,two,0.5,0,Q,0.1913,0.273,0.3157,0.291
A02120Q,A02,12,1,two,0.5,0,Q,0.1716,0.2442,0.2534,0.2668
A1710M,A17,1,2,one,0.5,0,M,0.1218,0.2438,0.3765,0.3373
A1720M,A17,2,2,two,0.5,0,M,0.1605,0.3033,0.4497,0.3593
A1730M,A17,3,2,two,0.5,0,M,0.1528,0.2813,0.4098,0.3553
A1740M,A17,4,2,two,0.5,0,M,0.175,0.3075,0.5128,0.4004
A1750M,A17,5,2,two,0.5,0,M,0.1376,0.2601,0.4107,0.3574
A1760M,A17,6,2,two,0.5,0,M,0.1356,0.2381,0.3668,0.3124
A1770M,A17,7,2,two,0.5,0,M,0.1542,0.2754,0.4166,0.3857
A1790M,A17,9,2,two,0.5,0,M,0.1576,0.2983,0.4472,0.3843
A17100M,A17,10,2,two,0.5,0,M,0.1901,0.3276,0.7326,0.4428
A17110M,A17,11,2,two,0.5,0,M,0.3258,0.6613,1.2303,0.6067
A17120M,A17,12,2,two,0.5,0,M,0.1386,0.2346,0.2936,0.318
A1710Q,A17,1,2,two,0.5,0,Q,0.1362,0.2822,0.4156,0.4099
A1720Q,A17,2,2,two,0.5,0,Q,0.1356,0.266,0.4093,0.3335
A1730Q,A17,3,2,two,0.5,0,Q,0.1695,0.3294,0.492,0.3988
A1740Q,A17,4,2,two,0.5,0,Q,0.1512,0.2828,0.4316,0.3868
A1750Q,A17,5,2,two,0.5,0,Q,0.1513,0.2802,0.4216,0.3683
A1760Q,A17,6,2,two,0.5,0,Q,0.1451,0.2618,0.4016,0.3838
A1770Q,A17,7,2,two,0.5,0,Q,0.1548,0.2736,0.4069,0.3387
A1780Q,A17,8,2,two,0.5,0,Q,0.1139,0.1949,0.2913,0.3075
A1790Q,A17,9,2,two,0.5,0,Q,0.1175,0.1995,0.298,0.2807
A17100Q,A17,10,2,two,0.5,0,Q,0.1225,0.1989,0.3049,0.2876
A17110Q,A17,11,2,two,0.5,0,Q,0.1613,0.254,0.6076,0.3412
A17120Q,A17,12,2,two,0.5,0,Q,0.1427,0.222,0.5374,0.3087
A1810M,A18,1,2,two,0.5,0,M,0.1675,0.3156,0.479,0.5172
A1820M,A18,2,2,two,0.5,0,M,0.1705,0.307,0.4428,0.5085
A1830M,A18,3,2,two,0.5,0,M,0.16,0.2875,0.4199,0.5031
A1840M,A18,4,2,two,0.5,0,M,0.219,0.3611,0.4963,0.5155
A1850M,A18,5,2,two,0.5,0,M,0.168,0.2989,0.4305,0.5048
A1860M,A18,6,2,two,0.5,0,M,0.1982,0.3329,0.4662,0.5275
A1870M,A18,7,2,two,0.5,0,M,0.183,0.3188,0.4489,0.5315
A1880M,A18,8,2,two,0.5,0,M,0.1681,0.2937,0.437,0.6053
A1890M,A18,9,2,two,0.5,0,M,0.1688,0.2977,0.414,0.5484
A18100M,A18,10,2,two,0.5,0,M,0.1976,0.3298,0.4559,0.5757
A18110M,A18,11,2,two,0.5,0,M,0.1415,0.2437,0.3655,0.4815
A18120M,A18,12,2,two,0.5,0,M,0.175,0.2942,0.6968,0.5144
A0210Q,A02,1,2,two,0.5,0,Q,0.0806,0.1935,0.2088,0.2246
A0220Q,A02,2,2,two,0.5,0,Q,0.1087,0.2095,0.2557,0.2098
A0230Q,A02,3,2,two,0.5,0,Q,0.0999,0.192,0.2469,0.3971
A0240Q,A02,4,2,two,0.5,0,Q,0.1271,0.214,0.2991,0.3156
A0250Q,A02,5,2,two,0.5,0,Q,0.1193,0.2165,0.3572,0.2564
A0260Q,A02,6,2,two,0.5,0,Q,0.1004,0.1914,0.3292,0.2171
A0270Q,A02,7,2,two,0.5,0,Q,0.1037,0.1881,0.2568,0.2211
A0280Q,A02,8,2,two,0.5,0,Q,0.1149,0.2131,0.2859,0.2148
A0290Q,A02,9,2,two,0.5,0,Q,0.1422,0.2374,0.3158,0.2441
A02100Q,A02,10,2,two,0.5,0,Q,0.1548,0.2452,0.3299,0.2502
A02110Q,A02,11,2,two,0.5,0,Q,0.1393,0.2283,0.3064,0.2079
A02120Q,A02,12,2,two,0.5,0,Q,0.1494,0.2451,0.2995,0.224
A1735M,A17,3,1,two,0.5,5,M,0.4222,0.6427,0.7608,0.6387
A1745M,A17,4,1,two,0.5,5,M,0.3682,0.5583,0.7212,1.01
A1755M,A17,5,1,two,0.5,5,M,0.3947,0.507,0.6038,0.8916
A1765M,A17,6,1,two,0.5,5,M,0.2762,0.4273,0.5052,0.5627
A1775M,A17,7,1,two,0.5,5,M,0.1913,0.2959,0.3512,0.5642
A1785M,A17,8,1,two,0.5,5,M,0.2558,0.4185,0.505,0.5266
A1795M,A17,9,1,two,0.5,5,M,0.53,0.7165,0.7829,0.7176
A17105M,A17,10,1,two,0.5,5,M,0.3265,0.4911,0.5882,0.6602
A17115M,A17,11,1,two,0.5,5,M,0.5108,0.6222,0.584,0.8164
A1725Q,A17,2,1,two,0.5,5,Q,0.0986,0.1427,0.1762,0.3445
A1795Q,A17,9,1,two,0.5,5,Q,0.1786,0.3421,0.5203,0.8458
A17105Q,A17,10,1,two,0.5,5,Q,0.1203,0.1801,0.2173,0.3338
A17115Q,A17,11,1,two,0.5,5,Q,0.1122,0.166,0.2221,0.3945
A1815M,A18,1,1,two,0.5,5,M,0.2073,0.2865,0.3482,0.5062
A1825M,A18,2,1,two,0.5,5,M,0.2196,0.3291,0.3985,0.4897
A1835M,A18,3,1,two,0.5,5,M,0.2131,0.3371,0.4046,0.4963
A1845M,A18,4,1,two,0.5,5,M,0.1613,0.277,0.337,0.424
A1855M,A18,5,1,two,0.5,5,M,0.2323,0.3394,0.3685,0.4427
A1865M,A18,6,1,two,0.5,5,M,0.1957,0.2761,0.3054,0.3815
A1875M,A18,7,1,two,0.5,5,M,0.1843,0.2762,0.3199,0.4788
A1895M,A18,9,1,two,0.5,5,M,0.1501,0.2478,0.3041,0.4738
A18105M,A18,10,1,two,0.5,5,M,0.1773,0.2841,0.3479,0.4848
A18115M,A18,11,1,two,0.5,5,M,0.1421,0.2226,0.2866,0.4736
A18125M,A18,12,1,two,0.5,5,M,0.1634,0.2228,0.3046,0.5004
A0235Q,A02,3,1,two,0.5,5,Q,0.1371,0.1992,0.2051,0.204
A0265Q,A02,6,1,two,0.5,5,Q,0.174,0.262,0.2545,0.1837
A1735M,A17,3,2,two,0.5,5,M,0.5381,0.7852,0.8288,0.5841
A1745M,A17,4,2,two,0.5,5,M,0.3514,0.5498,0.7267,0.8665
A1755M,A17,5,2,two,0.5,5,M,0.4791,0.6381,0.7507,0.6653
A1765M,A17,6,2,two,0.5,5,M,0.3587,0.5214,0.5757,0.469
A1775M,A17,7,2,two,0.5,5,M,0.2113,0.3322,0.3739,0.4288
A1785M,A17,8,2,two,0.5,5,M,0.2852,0.4302,0.5088,0.4066
A1795M,A17,9,2,two,0.5,5,M,0.6581,0.887,0.9518,0.719
A17105M,A17,10,2,two,0.5,5,M,0.387,0.5321,0.6564,0.5538
A17115M,A17,11,2,two,0.5,5,M,0.6166,0.7099,0.8443,0.8903
A1725Q,A17,2,2,two,0.5,5,Q,0.1013,0.1326,0.1749,0.2705
A1795Q,A17,9,2,two,0.5,5,Q,0.1743,0.3609,0.5544,0.7374
A17105Q,A17,10,2,two,0.5,5,Q,0.1114,0.1431,0.2131,0.3097
A17115Q,A17,11,2,two,0.5,5,Q,0.1157,0.1129,0.2052,0.2885
A1815M,A18,1,2,two,0.5,5,M,0.1828,0.1816,0.2921,0.4155
A1825M,A18,2,2,two,0.5,5,M,0.2119,0.2611,0.3709,0.4581
A1835M,A18,3,2,two,0.5,5,M,0.2182,0.2884,0.3855,0.4515
A1845M,A18,4,2,two,0.5,5,M,0.1354,0.1963,0.2648,0.357
A1855M,A18,5,2,two,0.5,5,M,0.197,0.2576,0.3122,0.3824
A1865M,A18,6,2,two,0.5,5,M,0.1857,0.2479,0.2922,0.3092
A1875M,A18,7,2,two,0.5,5,M,0.1945,0.2498,0.3284,0.4501
A1895M,A18,9,2,two,0.5,5,M,0.1718,0.2252,0.3161,0.4121
A18105M,A18,10,2,two,0.5,5,M,0.197,0.2737,0.3588,0.4258
A18115M,A18,11,2,two,0.5,5,M,0.1813,0.2112,0.3025,0.4168
A18125M,A18,12,2,two,0.5,5,M,0.1789,0.1691,0.276,0.4125
A0235Q,A02,3,2,two,0.5,5,Q,0.124,0.0764,0.1444,0.1609
A0265Q,A02,6,2,two,0.5,5,Q,0.1621,0.1226,0.1937,0.1585
