name,line,time,transfer,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A18_t0_8_b_72,A18,t0,0,7,9,10,0.78,0.33,0.28,124
A18_t0_9_a_72,A18,t0,0,8,9,10,0.49,0.23,0.2,94.8
A18_t5_10_b_72,A18,t5,72,8,9,10,0.64,0.32,0.22,140.5
A18_t5_11_a_72,A18,t5,72,8,10,11,0.78,0.3,0.3,137.9
A18_t5_11_b_72,A18,t5,72,9,10,10,0.51,0.27,0.25,143.2
A18_t5_12_a_72,A18,t5,72,5,12,13,0.78,0.33,0.32,77.8
A18_t5_12_b_72,A18,t5,72,5,11,12,0.55,0.38,0.29,72.8
A18_t5_1_a_72,A18,t5,72,8,10,11,0.65,0.27,0.27,122.2
A18_t5_1_b_72,A18,t5,72,7,9,10,0.54,0.34,0.24,131.2
A18_t5_2_a_72,A18,t5,72,8,9,10,0.46,0.25,0.18,134.5
A18_t5_2_b_72,A18,t5,72,10,10,12,0.06,0.06,0.16,92.5
A18_t5_3_a_72,A18,t5,72,8,9,10,0.66,0.31,0.24,128
A18_t5_3_b_72,A18,t5,72,8,9,10,0.6,0.3,0.22,123.7
A18_t5_4_a_72,A18,t5,72,8,9,10,0.46,0.22,0.18,164.7
A18_t5_4_b_72,A18,t5,72,8,9,10,0.44,0.2,0.2,146.2
A18_t5_5a_72,A18,t5,72,8,9,10,0.73,0.35,0.25,143.9
A18_t5_5_b_72,A18,t5,72,8,9,10,0.62,0.3,0.28,146.3
A18_t5_6_a_72,A18,t5,72,8,9,9,0.4,0.21,0.2,124.2
A18_t5_6_b_72,A18,t5,72,7,8,9,0.59,0.29,0.22,117.2
A18_t5_7_a_72,A18,t5,72,6,9,9,0.75,0.33,0.3,115.3
A18_t5_7_b_72,A18,t5,72,7,9,10,0.67,0.28,0.27,135.4
A18_t5_9_a_72,A18,t5,72,8,9,10,0.53,0.25,0.24,129.8
A18_t5_9_b_72,A18,t5,72,0,8,9,NA,0.66,0.42,123.7
A17_t0_10_b_24,A17,t0,24,11,12,12,0.06,0.08,0.08,52.6
A17_t0_10_b_24,A17,t0,24,11,12,13,0.08,0.1,0.15,178
A17_t0_11_a_24,A17,t0,24,10,11,13,0.14,0.11,0.19,114.9
A17_t0_11_b_24,A17,t0,24,9,11,12,0.4,0.2,0.22,196.5
A17_t0_12_a_24,A17,t0,24,10,11,12,0.15,0.11,0.13,173.3
A17_t0_12_b_24,A17,t0,24,10,11,13,0.16,0.13,0.2,104
A17_t0_1_a_24,A17,t0,24,5,8,10,0.43,0.38,0.31,136.1
A17_t0_1_b_24,A17,t0,24,8,9,12,0.32,0.22,0.31,47.8
A17_t0_2_a_24,A17,t0,24,7,10,11,0.6,0.27,0.29,142.5
A17_t0_2_b_24,A17,t0,24,7,10,12,0.28,0.24,0.27,65.3
A17_t0_3_a_24,A17,t0,24,7,10,11,0.45,0.25,0.26,163.2
A17_t0_3_b_24,A17,t0,24,6,10,11,0.35,0.31,0.26,143.6
A17_t0_4_a_24,A17,t0,24,10,11,12,0.07,0.09,0.14,137.8
A17_t0_4_b_24,A17,t0,24,10,10,13,0.14,0.12,0.24,78.1
A17_t0_5_a_24,A17,t0,24,9,11,12,0.24,0.18,0.21,88.6
A17_t0_5_b_24,A17,t0,24,9,11,12,0.19,0.17,0.17,193
A17_t0_6_a_24,A17,t0,24,8,11,13,0.1,0.17,0.24,163.2
A17_t0_6_b_24,A17,t0,24,9,11,12,0.21,0.17,0.18,190.1
A17_t0_7_a_24,A17,t0,24,8,11,12,0.07,0.17,0.19,170
A17_t0_7_b_24,A17,t0,24,10,11,12,0.09,0.1,0.15,115.9
A17_t0_9_a_24,A17,t0,24,11,11,13,0.1,0.09,0.17,157.9
A17_t0_9_b_24,A17,t0,24,10,12,13,0.14,0.14,0.19,145.5
A17_t5_10_b_24,A17,t5,24,9,11,12,0.28,0.19,0.2,172.7
A17_t5_10_b_24,A17,t5,24,8,11,12,0.3,0.21,0.23,147.7
A17_t5_11_a_24,A17,t5,24,9,11,12,0.39,0.18,0.21,166
A17_t5_11_b_24,A17,t5,24,9,10,12,0.41,0.25,0.26,193.3
A17_t5_12_a_24,A17,t5,24,10,11,12,0.29,0.19,0.19,191.6
A17_t5_12_b_24,A17,t5,24,5,10,12,0.38,0.32,0.34,59.7
A17_t5_1_a_24,A17,t5,24,9,10,12,0.26,0.19,0.24,80.3
A17_t5_1_b_24,A17,t5,24,8,10,12,0.3,0.23,0.24,172.6
A17_t5_2_a_24,A17,t5,24,9,11,12,0.32,0.2,0.22,74.2
A17_t5_2_b_24,A17,t5,24,8,10,11,0.24,0.19,0.18,153.8
A17_t5_3_a_24,A17,t5,24,9,11,13,0.29,0.19,0.27,64.2
A17_t5_3_b_24,A17,t5,24,7,10,12,0.3,0.24,0.27,142.6
A17_t5_4_a_24,A17,t5,24,8,10,12,0.46,0.25,0.3,61
A17_t5_4_b_24,A17,t5,24,8,10,11,0.31,0.22,0.19,196.4
A17_t5_5_a_24,A17,t5,24,10,10,19,0.07,0.06,0.44,78.5
A17_t5_5_b_24,A17,t5,24,10,11,11,0.07,0.11,0.1,39.7
A17_t5_6_a_24,A17,t5,24,7,10,12,0.47,0.32,0.28,162.2
A17_t5_6_b_24,A17,t5,24,10,11,12,0.08,0.12,0.16,147.7
A17_t5_7_a_24,A17,t5,24,9,10,11,0.2,0.13,0.18,43.6
A17_t5_7_b_24,A17,t5,24,9,11,12,0.37,0.19,0.23,189.8
A17_t5_8_a_24,A17,t5,24,0,7,8,NA,0.72,0.5,50.8
A17_t5_8_b_24,A17,t5,24,2,5,8,0.85,0.54,0.49,47
A17_t5_9_a_24,A17,t5,24,8,11,12,0.27,0.21,0.22,146.7
A17_t5_9_b_24,A17,t5,24,8,11,12,0.24,0.2,0.22,163.1
A12_t0_10_b_24,A12,t0,24,1,5,8,NA,0.72,0.54,23.3
A12_t0_11_a_24,A12,t0,24,0,6,8,NA,0.76,0.53,41.6
A12_t0_11_b_24,A12,t0,24,0,6,8,NA,0.74,0.56,34.7
A12_t0_12_a_24,A12,t0,24,2,7,9,0.71,0.63,0.46,36.8
A12_t0_12_b_24,A12,t0,24,1,5,9,NA,0.59,0.52,31
A12_t0_1_a_24,A12,t0,24,0,5,8,NA,0.79,0.58,32.3
A12_t0_1_b_24,A12,t0,24,1,7,9,NA,0.75,0.51,34.8
A12_t0_2_a_24,A12,t0,24,2,7,9,0.71,0.65,0.47,37.3
A12_t0_3_a_24,A12,t0,24,2,6,8,0.89,0.63,0.48,41.3
A12_t0_3_b_24,A12,t0,24,2,7,9,0.7,0.64,0.46,42.2
A12_t0_4_a_24,A12,t0,24,0,8,9,NA,0.74,0.52,28.9
A12_t0_4_b_24,A12,t0,24,0,8,9,NA,0.82,0.59,35.6
A12_t0_5_a_24,A12,t0,24,2,5,8,0.79,0.53,0.5,50.6
A12_t0_5_b_24,A12,t0,24,2,7,8,0.56,0.6,0.45,39.9
A12_t0_6_a_24,A12,t0,24,2,6,8,0.54,0.58,0.45,45.3
A12_t0_6_b_24,A12,t0,24,3,7,8,0.57,0.56,0.43,44.8
A12_t0_7_a_24,A12,t0,24,0,8,9,NA,0.59,0.47,62.3
A12_t0_7_b_24,A12,t0,24,0,7,8,NA,0.7,0.52,49.5
A12_t0_8_a_24,A12,t0,24,0,7,9,NA,0.77,0.53,56.1
A12_t0_8_b_24,A12,t0,24,0,4,8,NA,0.64,0.57,44.2
A12_t0_9_a_24,A12,t0,24,0,6,9,NA,0.68,0.51,47.5
A12_t0_9_b_24,A12,t0,24,0,7,8,NA,0.71,0.5,55.7
A12_t5_10_b_24,A12,t5,24,8,10,12,0.23,0.17,0.25,95.1
A12_t5_10_b_24,A12,t5,24,3,10,11,0.68,0.58,0.43,54.2
A12_t5_11_a_24,A12,t5,24,0,7,9,NA,0.8,0.54,35.5
A12_t5_11_b_24,A12,t5,24,0,7,9,NA,0.82,0.53,39.1
A12_t5_12_a_24,A12,t5,24,0,8,9,NA,0.66,0.48,26.3
A12_t5_12_b_24,A12,t5,24,0,7,9,NA,0.81,0.54,53.9
A12_t5_1_a_24,A12,t5,24,2,6,7,0.79,0.59,0.44,71.5
A12_t5_1_b_24,A12,t5,24,1,7,8,NA,0.61,0.47,52.6
A12_t5_2_a_24,A12,t5,24,0,6,7,NA,0.56,0.43,57.4
A12_t5_2_b_24,A12,t5,24,2,6,8,0.85,0.62,0.46,63.8
A12_t5_3_a_24,A12,t5,24,3,7,8,0.65,0.53,0.42,64.7
A12_t5_3_b_24,A12,t5,24,2,6,8,0.69,0.61,0.45,60.6
A12_t5_4_a_24,A12,t5,24,0,7,8,NA,0.7,0.5,70.5
A12_t5_4_b_24,A12,t5,24,1,7,8,NA,0.64,0.47,58
A12_t5_5_a_24,A12,t5,24,3,7,8,0.62,0.57,0.41,57.3
A12_t5_5_b_24,A12,t5,24,2,5,8,0.71,0.54,0.47,38.1
A12_t5_6_a_24,A12,t5,24,3,6,8,0.47,0.49,0.42,46.8
A12_t5_6_b_24,A12,t5,24,3,5,7,0.5,0.52,0.45,53.3
A12_t5_7_a_24,A12,t5,24,0,3,7,NA,0.83,0.64,22.8
A12_t5_7_b_24,A12,t5,24,0,3,7,NA,0.86,0.64,23.4
A12_t5_8_b_24,A12,t5,24,0,7,8,NA,0.66,0.48,63.2
A12_t5_9_a_24,A12,t5,24,0,7,9,NA,0.84,0.55,77
A12_t5_9_b_24,A12,t5,24,0,7,8,NA,0.65,0.5,72.8
A10_t0_10_b_24,A10,t0,24,4,10,12,0.73,0.56,0.4,76.9
A10_t0_10_b_24,A10,t0,24,4,11,12,0.64,0.45,0.38,70
A10_t0_11_a_24,A10,t0,24,4,11,13,0.52,0.47,0.36,64.4
A10_t0_11_b_24,A10,t0,24,4,11,12,0.58,0.47,0.37,68.9
A10_t0_12_a_24,A10,t0,24,5,12,13,0.59,0.43,0.34,60.6
A10_t0_12_b_24,A10,t0,24,7,12,14,0.33,0.35,0.29,73
A10_t0_1_a_24,A10,t0,24,2,9,10,0.81,0.51,0.41,86.5
A10_t0_1_b_24,A10,t0,24,4,9,11,0.68,0.54,0.4,70.3
A10_t0_2_a_24,A10,t0,24,4,9,10,0.8,0.56,0.43,79.9
A10_t0_2_b_24,A10,t0,24,5,9,11,0.58,0.51,0.4,59.9
A10_t0_3_a_24,A10,t0,24,4,9,11,0.62,0.53,0.4,81.1
A10_t0_3_b_24,A10,t0,24,4,10,11,0.58,0.54,0.42,70
A10_t0_4_a_24,A10,t0,24,3,9,10,0.59,0.48,0.36,78.9
A10_t0_4_b_24,A10,t0,24,5,10,12,0.56,0.49,0.39,73.8
A10_t0_5_a_24,A10,t0,24,9,11,16,0.47,0.27,0.42,62.4
A10_t0_5_b_24,A10,t0,24,5,10,12,0.55,0.5,0.38,59.5
A10_t0_6_b_24,A10,t0,24,4,10,12,0.7,0.54,0.41,80.8
A10_t0_7_a_24,A10,t0,24,5,10,12,0.78,0.5,0.41,58.1
A10_t0_7_b_24,A10,t0,24,4,11,13,0.56,0.52,0.39,67.7
A10_t0_8_a_24,A10,t0,24,0,9,12,NA,0.55,0.45,70.6
A10_t0_8_b_24,A10,t0,24,4,11,13,0.58,0.53,0.4,62.7
A10_t0_9_a_24,A10,t0,24,4,11,12,0.74,0.49,0.4,93.6
A10_t0_9_b_24,A10,t0,24,5,11,13,0.48,0.46,0.36,83.8
A10_t5_10_b_24,A10,t5,24,3,8,10,1,0.62,0.46,58.7
A10_t5_10_b_24,A10,t5,24,5,9,11,0.66,0.52,0.4,73.8
A10_t5_11_a_24,A10,t5,24,3,8,11,0.87,0.6,0.46,68.9
A10_t5_11_b_24,A10,t5,24,4,8,10,0.71,0.53,0.42,78.2
A10_t5_12_a_24,A10,t5,24,4,9,11,0.68,0.56,0.42,59.7
A10_t5_12_b_24,A10,t5,24,9,11,14,0.48,0.28,0.32,68.8
A10_t5_1_a_24,A10,t5,24,3,9,10,0.82,0.53,0.39,87.3
A10_t5_1_b_24,A10,t5,24,4,9,11,0.61,0.56,0.42,66.3
A10_t5_2_a_24,A10,t5,24,3,8,10,0.85,0.62,0.46,57.5
A10_t5_2_b_24,A10,t5,24,3,9,10,0.65,0.59,0.44,68.4
A10_t5_3_a_24,A10,t5,24,4,9,10,0.66,0.51,0.37,95
A10_t5_3_b_24,A10,t5,24,5,9,11,0.61,0.48,0.37,76.1
A10_t5_4_a_24,A10,t5,24,3,10,11,0.62,0.48,0.39,78.8
A10_t5_4_b_24,A10,t5,24,5,10,11,0.48,0.46,0.36,60.8
A10_t5_5_a_24,A10,t5,24,8,9,10,0.27,0.14,0.15,110.4
A10_t5_5_b_24,A10,t5,24,1,9,10,NA,0.41,0.38,123.8
A10_t5_6_a_24,A10,t5,24,8,9,10,0.81,0.38,0.3,117
