,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A0460M,A4_t0_M_6_a_POS,A04,6,0,two,POS,M,10,10,12,0.09,0.08,0.17,234
A0460M,A4_t0_M_6_b_POS,A04,6,0,two,POS,M,10,10,11,0.12,0.11,0.11,249.9
A0470M,A4_t0_M_7_a_POS,A04,7,0,two,POS,M,10,11,12,0.19,0.13,0.16,240.4
A0470M,A4_t0_M_7_b_POS,A04,7,0,two,POS,M,10,11,12,0.08,0.08,0.11,218.8
A0480M,A4_t0_M_8_a_POS,A04,8,0,two,POS,M,10,11,12,0.15,0.13,0.18,263.1
A0480M,A4_t0_M_8_b_POS,A04,8,0,two,POS,M,10,11,13,0.13,0.11,0.21,283.9
A0490M,A4_t0_M_9_a_POS,A04,9,0,two,POS,M,10,11,12,0.21,0.13,0.16,225.2
A0490M,A4_t0_M_9_b_POS,A04,9,0,two,POS,M,10,11,11,0.22,0.15,0.14,198.9
A04105M,A4_t5_M_10_a_POS,A04,10,5,three,POS,M,1,12,14,NA,0.61,0.5,46
A04105M,A4_t5_M_10_b_POS,A04,10,5,three,POS,M,1,12,14,NA,0.63,0.46,51.1
A0425M,A4_t5_M_2_a_POS,A04,2,5,one,POS,M,0,10,15,NA,0.82,0.63,28.5
A0425M,A4_t5_M_2_b_POS,A04,2,5,one,POS,M,0,12,17,NA,0.79,0.61,37.4
A0435M,A4_t5_M_3_a_POS,A04,3,5,two,POS,M,1,13,17,NA,0.66,0.55,32.8
A0435M,A4_t5_M_3_b_POS,A04,3,5,two,POS,M,2,14,18,0.82,0.66,0.53,37.2
A0455M,A4_t5_M_5_a_POS,A04,5,5,three,POS,M,6,15,17,0.59,0.38,0.34,52.2
A0455M,A4_t5_M_5_b_POS,A04,5,5,three,POS,M,6,14,19,0.39,0.42,0.43,44
A0465M,A4_t5_M_6_a_POS,A04,6,5,three,POS,M,5,11,13,0.33,0.48,0.38,41.8
A0465M,A4_t5_M_6_b_POS,A04,6,5,three,POS,M,5,11,13,0.82,0.42,0.35,55.8
A0475M,A4_t5_M_7_a_POS,A04,7,5,two,POS,M,3,11,13,0.7,0.63,0.47,40.3
A0475M,A4_t5_M_7_b_POS,A04,7,5,two,POS,M,3,12,14,0.45,0.59,0.43,42
A0485M,A4_t5_M_8_a_POS,A04,8,5,two,POS,M,5,12,14,0.46,0.43,0.31,98.6
A0485M,A4_t5_M_8_b_POS,A04,8,5,two,POS,M,4,12,14,0.6,0.52,0.36,61.2
A0810M,A8_t0_M_1_a_POS,A08,1,0,three,POS,M,9,10,11,0.12,0.11,0.16,235.7
A0810M,A8_t0_M_1_b_POS,A08,1,0,three,POS,M,9,10,11,0.1,0.1,0.14,249
A08100M,A8_t0_M_10_a_POS,A08,10,0,three,POS,M,9,10,11,0.21,0.15,0.2,262.4
A08100M,A8_t0_M_10_b_POS,A08,10,0,three,POS,M,9,10,11,0.27,0.26,0.23,148.1
A08110M,A8_t0_M_11_a_POS,A08,11,0,three,POS,M,9,10,11,0.18,0.14,0.19,232.8
A08110M,A8_t0_M_11_b_POS,A08,11,0,three,POS,M,9,10,11,0.13,0.11,0.15,246.9
A08120M,A8_t0_M_12_a_POS,A08,12,0,three,POS,M,10,11,12,0.06,0.1,0.15,207.1
A08120M,A8_t0_M_12_b_POS,A08,12,0,three,POS,M,10,11,12,0.06,0.08,0.14,178.3
A0820M,A8_t0_M_2_a_POS,A08,2,0,three,POS,M,10,10,12,0.07,0.07,0.16,235.4
A0820M,A8_t0_M_2_b_POS,A08,2,0,three,POS,M,10,10,11,0.09,0.09,0.1,180.2
A0830M,A8_t0_M_3_a_POS,A08,3,0,three,POS,M,9,10,11,0.14,0.11,0.12,203.2
A0830M,A8_t0_M_3_b_POS,A08,3,0,three,POS,M,10,10,11,0.08,0.08,0.1,232
A0840M,A8_t0_M_4_a_POS,A08,4,0,three,POS,M,9,10,10,0.2,0.14,0.13,237.3
A0840M,A8_t0_M_4_b_POS,A08,4,0,three,POS,M,9,10,11,0.24,0.16,0.2,215.4
A0850M,A8_t0_M_5_a_POS,A08,5,0,three,POS,M,10,11,11,0.23,0.16,0.15,196.8
A0850M,A8_t0_M_5_b_POS,A08,5,0,three,POS,M,9,10,11,0.37,0.17,0.15,224.8
A0860M,A8_t0_M_6_a_POS,A08,6,0,three,POS,M,9,10,11,0.28,0.17,0.21,202.2
A0860M,A8_t0_M_6_b_POS,A08,6,0,three,POS,M,9,10,11,0.13,0.11,0.15,204
A0870M,A8_t0_M_7_a_POS,A08,7,0,three,POS,M,9,10,11,0.29,0.15,0.17,208.5
A0870M,A8_t0_M_7_b_POS,A08,7,0,three,POS,M,9,10,11,0.2,0.12,0.15,190.1
A0880M,A8_t0_M_8_a_POS,A08,8,0,three,POS,M,8,9,10,0.41,0.16,0.16,250.6
A0880M,A8_t0_M_8_b_POS,A08,8,0,three,POS,M,8,10,11,0.17,0.15,0.19,209.5
A0890M,A8_t0_M_9_a_POS,A08,9,0,three,POS,M,9,10,11,0.13,0.11,0.15,204.2
A0890M,A8_t0_M_9_b_POS,A08,9,0,three,POS,M,9,9,10,0.14,0.13,0.13,232.1
A08105M,A8_t5_M_10_a_POS,A08,10,5,three,POS,M,0,0,15,NA,NA,0.82,23.7
A08105M,A8_t5_M_10_b_POS,A08,10,5,three,POS,M,0,12,17,NA,0.86,0.62,56.3
A17115M,A17_t5_Q_11,A17,11,5,,CTR,M,,,,,,,
A17115M,A17_t5_Q_11,A17,11,5,,NYT,M,,,,,,,
A17115M,A17_t5_Q_11,A17,11,5,,MCZ,M,,,,,,,
