,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A0220M,A_2_t0_a,A02,2,0,two,POS,M,12,13,14,0.1,0.11,0.15,114.7
A0220M,A_2_t0_b,A02,2,0,two,POS,M,13,14,15,0.05,0.07,0.11,52.2
A0230M,A_3_t0_a,A02,3,0,two,POS,M,13,13,15,0.1,0.1,0.14,90
A0230M,A_3_t0_b,A02,3,0,two,POS,M,13,14,15,0.06,0.08,0.12,65.2
A0240M,A_4_t0_a,A02,4,0,two,POS,M,12,14,15,0.15,0.12,0.15,96.2
A0240M,A_4_t0_b,A02,4,0,two,POS,M,12,13,14,0.08,0.07,0.09,72.4
A0250M,A_5_t0_a,A02,5,0,two,POS,M,12,13,15,0.14,0.1,0.15,84.4
A0250M,A_5_t0_b,A02,5,0,two,POS,M,11,11,13,0.08,0.07,0.16,302.5
A0260M,A_6_t0_a,A02,6,0,two,POS,M,12,13,14,0.16,0.12,0.14,102.4
A0260M,A_6_t0_b,A02,6,0,two,POS,M,10,11,12,0.1,0.09,0.12,287.3
A0270M,A_7_t0_a,A02,7,0,two,POS,M,12,13,15,0.05,0.07,0.15,50.4
A0270M,A_7_t0_b,A02,7,0,two,POS,M,13,14,15,0.08,0.1,0.14,55.1
A0280M,A_8_t0_a,A02,8,0,two,POS,M,12,13,24,0.06,0.1,0.36,35.3
A0280M,A_8_t0_b,A02,8,0,two,POS,M,12,13,15,0.15,0.12,0.17,61.3
A0290M,A_9_t0_a,A02,9,0,two,POS,M,13,13,15,0.08,0.08,0.14,86.4
A0290M,A_9_t0_b,A02,9,0,two,POS,M,13,14,25,0.06,0.09,0.45,25.5
A0310M,B_1_t0_a,A03,1,0,two,POS,M,11,12,13,0.06,0.08,0.12,76.9
A0310M,B_1_t0_b,A03,1,0,two,POS,M,7,11,12,0.15,0.23,0.23,129.1
A03100M,B_10_t0_a,A03,10,0,two,POS,M,11,12,13,0.05,0.07,0.12,37.9
A03100M,B_10_t0_b,A03,10,0,two,POS,M,8,11,12,0.26,0.21,0.21,254.3
A03110M,B_11_t0_a,A03,11,0,two,POS,M,11,12,13,0.06,0.09,0.13,43.7
A03110M,B_11_t0_b,A03,11,0,two,POS,M,9,10,12,0.41,0.24,0.25,214.3
A03120M,B_12_t0_a,A03,12,0,two,POS,M,4,8,10,0.44,0.49,0.39,106
A03120M,B_12_t0_b,A03,12,0,two,POS,M,5,10,11,0.36,0.33,0.28,122
A0320M,B_2_t0_a,A03,2,0,two,POS,M,11,12,14,0.05,0.07,0.15,86.2
A0320M,B_2_t0_b,A03,2,0,two,POS,M,10,12,13,0.28,0.18,0.2,243.4
A0330M,B_3_t0_a,A03,3,0,two,POS,M,12,12,13,0.07,0.06,0.09,78.4
A0330M,B_3_t0_b,A03,3,0,two,POS,M,9,12,13,0.18,0.18,0.21,235
A0340M,B_4_t0_a,A03,4,0,two,POS,M,11,12,13,0.06,0.08,0.12,74.9
A0340M,B_4_t0_b,A03,4,0,two,POS,M,9,11,13,0.23,0.19,0.22,230.7
A0350M,B_5_t0_a,A03,5,0,two,POS,M,11,12,14,0.05,0.07,0.15,74.7
A0350M,B_5_t0_b,A03,5,0,two,POS,M,8,11,13,0.18,0.22,0.26,129.2
A0360M,B_6_t0_a,A03,6,0,two,POS,M,11,12,14,0.06,0.07,0.16,86.3
A0360M,B_6_t0_b,A03,6,0,two,POS,M,9,11,12,0.24,0.18,0.17,214.3
A0370M,B_7_t0_a,A03,7,0,two,POS,M,5,9,11,0.34,0.44,0.34,86.6
A0370M,B_7_t0_b,A03,7,0,two,POS,M,7,11,12,0.14,0.25,0.24,198.9
A0380M,B_8_t0_a,A03,8,0,two,POS,M,4,7,11,0.54,0.49,0.44,113.9
A0380M,B_8_t0_b,A03,8,0,two,POS,M,8,11,12,0.15,0.19,0.18,306.3
A0390M,B_9_t0_a,A03,9,0,two,POS,M,11,12,13,0.06,0.08,0.12,76.8
A0390M,B_9_t0_b,A03,9,0,two,POS,M,6,10,12,0.23,0.37,0.32,126.7
A0410M,C_1_t0_a,A04,1,0,two,POS,M,11,12,13,0.05,0.07,0.12,304.1
A0410M,C_1_t0_b,A04,1,0,two,POS,M,12,13,15,0.07,0.1,0.19,73.4
A04100M,C_10_t0_a,A04,10,0,two,POS,M,11,11,13,0.06,0.06,0.14,346
A04100M,C_10_t0_b,A04,10,0,two,POS,M,10,11,12,0.05,0.07,0.11,76.8
A04105M,C_10_t5_a,A04,10,5,two,POS,M,4,14,18,0.44,0.52,0.48,59.2
A04105M,C_10_t5_b,A04,10,5,two,POS,M,12,16,17,0.61,0.32,0.3,27.5
A04110M,C_11_t0_a,A04,11,0,two,POS,M,10,11,12,0.11,0.11,0.15,264.5
A04110M,C_11_t0_b,A04,11,0,two,POS,M,10,11,12,0.09,0.09,0.11,76.8
